"PROBEID","SYMBOL","GENENAME"
"13961","203861_s_at","ACTN2","actinin alpha 2"
"13962","203862_s_at","ACTN2","actinin alpha 2"
"13963","203863_at","ACTN2","actinin alpha 2"
"13964","203864_s_at","ACTN2","actinin alpha 2"
"13965","203865_s_at","ADARB1","adenosine deaminase RNA specific B1"
"13966","203866_at","NLE1","notchless homolog 1"
"13967","203867_s_at","NLE1","notchless homolog 1"
"13968","203868_s_at","VCAM1","vascular cell adhesion molecule 1"
"13969","203869_at","USP46","ubiquitin specific peptidase 46"
"13970","203870_at","USP46","ubiquitin specific peptidase 46"
"13971","203871_at","SENP3","SUMO specific peptidase 3"
"13972","203872_at","ACTA1","actin alpha 1, skeletal muscle"
"13973","203873_at","SMARCA1","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 1"
"13974","203874_s_at","SMARCA1","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 1"
"13975","203875_at","SMARCA1","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 1"
"13976","203876_s_at","MMP11","matrix metallopeptidase 11"
"13977","203877_at","MMP11","matrix metallopeptidase 11"
"13978","203878_s_at","MMP11","matrix metallopeptidase 11"
"13979","203879_at","PIK3CD","phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta"
"13980","203880_at","COX17","cytochrome c oxidase copper chaperone COX17"
"13981","203880_at","POPDC2","popeye domain containing 2"
"13982","203881_s_at","DMD","dystrophin"
"13983","203882_at","IRF9","interferon regulatory factor 9"
"13984","203883_s_at","RAB11FIP2","RAB11 family interacting protein 2"
"13985","203884_s_at","RAB11FIP2","RAB11 family interacting protein 2"
"13986","203885_at","RAB21","RAB21, member RAS oncogene family"
"13987","203886_s_at","FBLN2","fibulin 2"
"13988","203887_s_at","THBD","thrombomodulin"
"13989","203888_at","THBD","thrombomodulin"
"13990","203889_at","SCG5","secretogranin V"
"13991","203890_s_at","DAPK3","death associated protein kinase 3"
"13992","203890_s_at","MIR637","microRNA 637"
"13993","203891_s_at","DAPK3","death associated protein kinase 3"
"13994","203891_s_at","MIR637","microRNA 637"
"13995","203892_at","WFDC2","WAP four-disulfide core domain 2"
"13996","203893_at","AK6","adenylate kinase 6"
"13997","203894_at","TUBG2","tubulin gamma 2"
"13998","203895_at","PLCB4","phospholipase C beta 4"
"13999","203896_s_at","PLCB4","phospholipase C beta 4"
"14000","203897_at","LYRM1","LYR motif containing 1"
"14001","203898_at","CRCP","CGRP receptor component"
"14002","203899_s_at","CRCP","CGRP receptor component"
"14003","203900_at","SZT2","SZT2 subunit of KICSTOR complex"
"14004","203901_at","TAB1","TGF-beta activated kinase 1 (MAP3K7) binding protein 1"
"14005","203902_at","HEPH","hephaestin"
"14006","203903_s_at","HEPH","hephaestin"
"14007","203904_x_at","CD82","CD82 molecule"
"14008","203905_at","PARN","poly(A)-specific ribonuclease"
"14009","203906_at","IQSEC1","IQ motif and Sec7 domain 1"
"14010","203907_s_at","IQSEC1","IQ motif and Sec7 domain 1"
"14011","203908_at","SLC4A4","solute carrier family 4 member 4"
"14012","203909_at","SLC9A6","solute carrier family 9 member A6"
"14013","203910_at","ARHGAP29","Rho GTPase activating protein 29"
"14014","203911_at","RAP1GAP","RAP1 GTPase activating protein"
"14015","203912_s_at","DNASE1L1","deoxyribonuclease 1 like 1"
"14016","203913_s_at","HPGD","15-hydroxyprostaglandin dehydrogenase"
"14017","203914_x_at","HPGD","15-hydroxyprostaglandin dehydrogenase"
"14018","203915_at","CXCL9","C-X-C motif chemokine ligand 9"
"14019","203916_at","NDST2","N-deacetylase and N-sulfotransferase 2"
"14020","203917_at","CXADR","CXADR Ig-like cell adhesion molecule"
"14021","203918_at","PCDH1","protocadherin 1"
"14022","203919_at","TCEA2","transcription elongation factor A2"
"14023","203920_at","NR1H3","nuclear receptor subfamily 1 group H member 3"
"14024","203921_at","CHST2","carbohydrate sulfotransferase 2"
"14025","203922_s_at","CYBB","cytochrome b-245 beta chain"
"14026","203923_s_at","CYBB","cytochrome b-245 beta chain"
"14027","203924_at","GSTA2","glutathione S-transferase alpha 2"
"14028","203924_at","GSTA1","glutathione S-transferase alpha 1"
"14029","203925_at","GCLM","glutamate-cysteine ligase modifier subunit"
"14030","203926_x_at","ATP5F1D","ATP synthase F1 subunit delta"
"14031","203927_at","NFKBIE","NFKB inhibitor epsilon"
"14032","203928_x_at","MAPT","microtubule associated protein tau"
"14033","203929_s_at","MAPT","microtubule associated protein tau"
"14034","203930_s_at","MAPT","microtubule associated protein tau"
"14035","203931_s_at","MRPL12","mitochondrial ribosomal protein L12"
"14036","203932_at","HLA-DMB","major histocompatibility complex, class II, DM beta"
"14037","203933_at","RAB11FIP3","RAB11 family interacting protein 3"
"14038","203934_at","KDR","kinase insert domain receptor"
"14039","203935_at","ACVR1","activin A receptor type 1"
"14040","203936_s_at","MMP9","matrix metallopeptidase 9"
"14041","203937_s_at","TAF1C","TATA-box binding protein associated factor, RNA polymerase I subunit C"
"14042","203938_s_at","TAF1C","TATA-box binding protein associated factor, RNA polymerase I subunit C"
"14043","203939_at","NT5E","5'-nucleotidase ecto"
"14044","203940_s_at","VASH1","vasohibin 1"
"14045","203941_at","INTS9","integrator complex subunit 9"
"14046","203942_s_at","MARK2","microtubule affinity regulating kinase 2"
"14047","203943_at","KIF3B","kinesin family member 3B"
"14048","203944_x_at","BTN2A1","butyrophilin subfamily 2 member A1"
"14049","203945_at","ARG2","arginase 2"
"14050","203946_s_at","ARG2","arginase 2"
"14051","203947_at","CSTF3","cleavage stimulation factor subunit 3"
"14052","203948_s_at","MPO","myeloperoxidase"
"14053","203949_at","MPO","myeloperoxidase"
"14054","203950_s_at","CLCN6","chloride voltage-gated channel 6"
"14055","203951_at","CNN1","calponin 1"
"14056","203952_at","ATF6","activating transcription factor 6"
"14057","203953_s_at","CLDN3","claudin 3"
"14058","203954_x_at","CLDN3","claudin 3"
"14059","203955_at","PPP1R26","protein phosphatase 1 regulatory subunit 26"
"14060","203956_at","MORC2","MORC family CW-type zinc finger 2"
"14061","203957_at","E2F6","E2F transcription factor 6"
"14062","203958_s_at","ZBTB40","zinc finger and BTB domain containing 40"
"14063","203959_s_at","ZBTB40","zinc finger and BTB domain containing 40"
"14064","203960_s_at","HSPB11","heat shock protein family B (small) member 11"
"14065","203961_at","NEBL","nebulette"
"14066","203962_s_at","NEBL","nebulette"
"14067","203963_at","CA12","carbonic anhydrase 12"
"14068","203964_at","NMI","N-myc and STAT interactor"
"14069","203965_at","USP20","ubiquitin specific peptidase 20"
"14070","203966_s_at","PPM1A","protein phosphatase, Mg2+/Mn2+ dependent 1A"
"14071","203967_at","CDC6","cell division cycle 6"
"14072","203968_s_at","CDC6","cell division cycle 6"
"14073","203969_at","PEX3","peroxisomal biogenesis factor 3"
"14074","203970_s_at","PEX3","peroxisomal biogenesis factor 3"
"14075","203971_at","SLC31A1","solute carrier family 31 member 1"
"14076","203972_s_at","PEX3","peroxisomal biogenesis factor 3"
"14077","203973_s_at","CEBPD","CCAAT enhancer binding protein delta"
"14078","203974_at","PUDP","pseudouridine 5'-phosphatase"
"14079","203975_s_at","CHAF1A","chromatin assembly factor 1 subunit A"
"14080","203976_s_at","CHAF1A","chromatin assembly factor 1 subunit A"
"14081","203977_at","TAZ","tafazzin"
"14082","203978_at","NUBP1","nucleotide binding protein 1"
"14083","203979_at","CYP27A1","cytochrome P450 family 27 subfamily A member 1"
"14084","203980_at","FABP4","fatty acid binding protein 4"
"14085","203981_s_at","ABCD4","ATP binding cassette subfamily D member 4"
"14086","203982_s_at","ABCD4","ATP binding cassette subfamily D member 4"
"14087","203983_at","TSNAX","translin associated factor X"
"14088","203984_s_at","CASP9","caspase 9"
"14089","203985_at","ZNF212","zinc finger protein 212"
"14090","203986_at","STBD1","starch binding domain 1"
"14091","203986_at","FAM47E","family with sequence similarity 47 member E"
"14092","203986_at","FAM47E-STBD1","FAM47E-STBD1 readthrough"
"14093","203987_at","FZD6","frizzled class receptor 6"
"14094","203988_s_at","FUT8","fucosyltransferase 8"
"14095","203989_x_at","F2R","coagulation factor II thrombin receptor"
"14096","203990_s_at","KDM6A","lysine demethylase 6A"
"14097","203991_s_at","KDM6A","lysine demethylase 6A"
"14098","203992_s_at","KDM6A","lysine demethylase 6A"
"14099","203993_x_at","CFAP410","cilia and flagella associated protein 410"
"14100","203994_s_at","CFAP410","cilia and flagella associated protein 410"
"14101","203995_at","CFAP410","cilia and flagella associated protein 410"
"14102","203996_s_at","CFAP410","cilia and flagella associated protein 410"
"14103","203997_at","PTPN3","protein tyrosine phosphatase non-receptor type 3"
"14104","203998_s_at","SYT1","synaptotagmin 1"
"14105","203999_at","SYT1","synaptotagmin 1"
"14106","204000_at","GNB5","G protein subunit beta 5"
"14107","204001_at","SNAPC3","small nuclear RNA activating complex polypeptide 3"
"14108","204002_s_at","ICA1","islet cell autoantigen 1"
"14109","204003_s_at","NUP42","nucleoporin 42"
"14110","204004_at","PAWR","pro-apoptotic WT1 regulator"
"14111","204005_s_at","PAWR","pro-apoptotic WT1 regulator"
"14112","204006_s_at","FCGR3B","Fc fragment of IgG receptor IIIb"
"14113","204006_s_at","FCGR3A","Fc fragment of IgG receptor IIIa"
"14114","204007_at","FCGR3B","Fc fragment of IgG receptor IIIb"
"14115","204008_at","DNAL4","dynein axonemal light chain 4"
"14116","204009_s_at","KRAS","KRAS proto-oncogene, GTPase"
"14117","204010_s_at","KRAS","KRAS proto-oncogene, GTPase"
"14118","204011_at","SPRY2","sprouty RTK signaling antagonist 2"
"14119","204012_s_at","LCMT2","leucine carboxyl methyltransferase 2"
"14120","204013_s_at","LCMT2","leucine carboxyl methyltransferase 2"
"14121","204014_at","DUSP4","dual specificity phosphatase 4"
"14122","204015_s_at","DUSP4","dual specificity phosphatase 4"
"14123","204016_at","LARS2","leucyl-tRNA synthetase 2, mitochondrial"
"14124","204017_at","KDELR3","KDEL endoplasmic reticulum protein retention receptor 3"
"14125","204018_x_at","HBA1","hemoglobin subunit alpha 1"
"14126","204018_x_at","HBA2","hemoglobin subunit alpha 2"
"14127","204019_s_at","SH3YL1","SH3 and SYLF domain containing 1"
"14128","204020_at","PURA","purine rich element binding protein A"
"14129","204021_s_at","PURA","purine rich element binding protein A"
"14130","204022_at","WWP2","WW domain containing E3 ubiquitin protein ligase 2"
"14131","204023_at","RFC4","replication factor C subunit 4"
"14132","204024_at","OSGIN2","oxidative stress induced growth inhibitor family member 2"
"14133","204025_s_at","PDCD2","programmed cell death 2"
"14134","204026_s_at","ZWINT","ZW10 interacting kinetochore protein"
"14135","204027_s_at","METTL1","methyltransferase like 1"
"14136","204028_s_at","RABGAP1","RAB GTPase activating protein 1"
"14137","204029_at","CELSR2","cadherin EGF LAG seven-pass G-type receptor 2"
"14138","204030_s_at","SCHIP1","schwannomin interacting protein 1"
"14139","204030_s_at","IQCJ-SCHIP1","IQCJ-SCHIP1 readthrough"
"14140","204031_s_at","PCBP2","poly(rC) binding protein 2"
"14141","204032_at","BCAR3","BCAR3 adaptor protein, NSP family member"
"14142","204033_at","TRIP13","thyroid hormone receptor interactor 13"
"14143","204034_at","ETHE1","ETHE1 persulfide dioxygenase"
"14144","204035_at","SCG2","secretogranin II"
"14145","204036_at","LPAR1","lysophosphatidic acid receptor 1"
"14146","204037_at","LPAR1","lysophosphatidic acid receptor 1"
"14147","204038_s_at","LPAR1","lysophosphatidic acid receptor 1"
"14148","204039_at","CEBPA","CCAAT enhancer binding protein alpha"
"14149","204040_at","RNF144A","ring finger protein 144A"
"14150","204041_at","MAOB","monoamine oxidase B"
"14151","204042_at","WASF3","WASP family member 3"
"14152","204043_at","TCN2","transcobalamin 2"
"14153","204044_at","QPRT","quinolinate phosphoribosyltransferase"
"14154","204045_at","TCEAL1","transcription elongation factor A like 1"
"14155","204046_at","PLCB2","phospholipase C beta 2"
"14156","204047_s_at","PHACTR2","phosphatase and actin regulator 2"
"14157","204048_s_at","PHACTR2","phosphatase and actin regulator 2"
"14158","204049_s_at","PHACTR2","phosphatase and actin regulator 2"
"14159","204050_s_at","CLTA","clathrin light chain A"
"14160","204051_s_at","SFRP4","secreted frizzled related protein 4"
"14161","204052_s_at","SFRP4","secreted frizzled related protein 4"
"14162","204053_x_at","PTEN","phosphatase and tensin homolog"
"14163","204054_at","PTEN","phosphatase and tensin homolog"
"14164","204055_s_at","MIA2","MIA SH3 domain ER export factor 2"
"14165","204056_s_at","MVK","mevalonate kinase"
"14166","204057_at","IRF8","interferon regulatory factor 8"
"14167","204058_at","ME1","malic enzyme 1"
"14168","204059_s_at","ME1","malic enzyme 1"
"14169","204060_s_at","PRKX","protein kinase X-linked"
"14170","204060_s_at","PRKY","protein kinase Y-linked (pseudogene)"
"14171","204061_at","PRKX","protein kinase X-linked"
"14172","204062_s_at","ULK2","unc-51 like autophagy activating kinase 2"
"14173","204063_s_at","ULK2","unc-51 like autophagy activating kinase 2"
"14174","204064_at","THOC1","THO complex 1"
"14175","204065_at","CHST10","carbohydrate sulfotransferase 10"
"14176","204066_s_at","AGAP1","ArfGAP with GTPase domain, ankyrin repeat and PH domain 1"
"14177","204067_at","SUOX","sulfite oxidase"
"14178","204068_at","STK3","serine/threonine kinase 3"
"14179","204069_at","MEIS1","Meis homeobox 1"
"14180","204070_at","PLAAT4","phospholipase A and acyltransferase 4"
"14181","204071_s_at","TOPORS","TOP1 binding arginine/serine rich protein"
"14182","204072_s_at","FRY","FRY microtubule binding protein"
"14183","204073_s_at","MYRF","myelin regulatory factor"
"14184","204074_s_at","CEP104","centrosomal protein 104"
"14185","204075_s_at","CEP104","centrosomal protein 104"
"14186","204076_at","ENTPD4","ectonucleoside triphosphate diphosphohydrolase 4"
"14187","204077_x_at","ENTPD4","ectonucleoside triphosphate diphosphohydrolase 4"
"14188","204078_at","P3H4","prolyl 3-hydroxylase family member 4 (non-enzymatic)"
"14189","204079_at","TPST2","tyrosylprotein sulfotransferase 2"
"14190","204080_at","TOE1","target of EGR1, exonuclease"
"14191","204081_at","NRGN","neurogranin"
"14192","204082_at","PBX3","PBX homeobox 3"
"14193","204083_s_at","TPM2","tropomyosin 2"
"14194","204084_s_at","CLN5","CLN5 intracellular trafficking protein"
"14195","204085_s_at","CLN5","CLN5 intracellular trafficking protein"
"14196","204086_at","PRAME","preferentially expressed antigen in melanoma"
"14197","204087_s_at","SLC5A6","solute carrier family 5 member 6"
"14198","204088_at","P2RX4","purinergic receptor P2X 4"
"14199","204089_x_at","MAP3K4","mitogen-activated protein kinase kinase kinase 4"
"14200","204090_at","STK19","serine/threonine kinase 19"
"14201","204091_at","PDE6D","phosphodiesterase 6D"
"14202","204092_s_at","AURKA","aurora kinase A"
"14203","204093_at","CCNH","cyclin H"
"14204","204094_s_at","TSC22D2","TSC22 domain family member 2"
"14205","204095_s_at","ELL","elongation factor for RNA polymerase II"
"14206","204096_s_at","ELL","elongation factor for RNA polymerase II"
"14207","204097_s_at","RBMX2","RNA binding motif protein X-linked 2"
"14208","204098_at","RBMX2","RNA binding motif protein X-linked 2"
"14209","204099_at","SMARCD3","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3"
"14210","204100_at","THRA","thyroid hormone receptor alpha"
"14211","204101_at","MTM1","myotubularin 1"
"14212","204102_s_at","EEF2","eukaryotic translation elongation factor 2"
"14213","204103_at","CCL4","C-C motif chemokine ligand 4"
"14214","204104_at","SNAPC2","small nuclear RNA activating complex polypeptide 2"
"14215","204105_s_at","NRCAM","neuronal cell adhesion molecule"
"14216","204106_at","TESK1","testis associated actin remodelling kinase 1"
"14217","204107_at","NFYA","nuclear transcription factor Y subunit alpha"
"14218","204108_at","NFYA","nuclear transcription factor Y subunit alpha"
"14219","204109_s_at","NFYA","nuclear transcription factor Y subunit alpha"
"14220","204110_at","HNMT","histamine N-methyltransferase"
"14221","204111_at","HNMT","histamine N-methyltransferase"
"14222","204112_s_at","HNMT","histamine N-methyltransferase"
"14223","204113_at","CELF1","CUGBP Elav-like family member 1"
"14224","204114_at","NID2","nidogen 2"
"14225","204115_at","GNG11","G protein subunit gamma 11"
"14226","204116_at","IL2RG","interleukin 2 receptor subunit gamma"
"14227","204117_at","PREP","prolyl endopeptidase"
"14228","204118_at","CD48","CD48 molecule"
"14229","204119_s_at","ADK","adenosine kinase"
"14230","204120_s_at","ADK","adenosine kinase"
"14231","204121_at","GADD45G","growth arrest and DNA damage inducible gamma"
"14232","204122_at","TYROBP","TYRO protein tyrosine kinase binding protein"
"14233","204123_at","LIG3","DNA ligase 3"
"14234","204124_at","SLC34A2","solute carrier family 34 member 2"
"14235","204125_at","NDUFAF1","NADH:ubiquinone oxidoreductase complex assembly factor 1"
"14236","204126_s_at","CDC45","cell division cycle 45"
"14237","204127_at","RFC3","replication factor C subunit 3"
"14238","204128_s_at","RFC3","replication factor C subunit 3"
"14239","204129_at","BCL9","BCL9 transcription coactivator"
"14240","204130_at","HSD11B2","hydroxysteroid 11-beta dehydrogenase 2"
"14241","204131_s_at","FOXO3","forkhead box O3"
"14242","204132_s_at","FOXO3","forkhead box O3"
"14243","204132_s_at","FOXO3B","forkhead box O3B"
"14244","204133_at","RRP9","ribosomal RNA processing 9, U3 small nucleolar RNA binding protein"
"14245","204134_at","PDE2A","phosphodiesterase 2A"
"14246","204135_at","FILIP1L","filamin A interacting protein 1 like"
"14247","204136_at","COL7A1","collagen type VII alpha 1 chain"
"14248","204137_at","GPR137B","G protein-coupled receptor 137B"
"14249","204138_s_at","MZF1","myeloid zinc finger 1"
"14250","204139_x_at","MZF1","myeloid zinc finger 1"
"14251","204140_at","TPST1","tyrosylprotein sulfotransferase 1"
"14252","204141_at","TUBB2A","tubulin beta 2A class IIa"
"14253","204142_at","ENOSF1","enolase superfamily member 1"
"14254","204143_s_at","ENOSF1","enolase superfamily member 1"
"14255","204144_s_at","PIGQ","phosphatidylinositol glycan anchor biosynthesis class Q"
"14256","204145_at","FRG1","FSHD region gene 1"
"14257","204145_at","FRG1CP","FSHD region gene 1 family member C, pseudogene"
"14258","204145_at","FRG1GP","FSHD region gene 1 family member G, pseudogene"
"14259","204146_at","RAD51AP1","RAD51 associated protein 1"
"14260","204147_s_at","TFDP1","transcription factor Dp-1"
"14261","204148_s_at","POMZP3","POM121 and ZP3 fusion"
"14262","204148_s_at","ZP3","zona pellucida glycoprotein 3"
"14263","204149_s_at","GSTM4","glutathione S-transferase mu 4"
"14264","204150_at","STAB1","stabilin 1"
"14265","204151_x_at","AKR1C1","aldo-keto reductase family 1 member C1"
"14266","204152_s_at","MFNG","MFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase"
"14267","204153_s_at","MFNG","MFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase"
"14268","204154_at","CDO1","cysteine dioxygenase type 1"
"14269","204155_s_at","SIK3","SIK family kinase 3"
"14270","204156_at","SIK3","SIK family kinase 3"
"14271","204157_s_at","SIK3","SIK family kinase 3"
"14272","204158_s_at","TCIRG1","T cell immune regulator 1, ATPase H+ transporting V0 subunit a3"
"14273","204159_at","CDKN2C","cyclin dependent kinase inhibitor 2C"
"14274","204160_s_at","ENPP4","ectonucleotide pyrophosphatase/phosphodiesterase 4"
"14275","204161_s_at","ENPP4","ectonucleotide pyrophosphatase/phosphodiesterase 4"
"14276","204162_at","NDC80","NDC80 kinetochore complex component"
"14277","204163_at","EMILIN1","elastin microfibril interfacer 1"
"14278","204164_at","SIPA1","signal-induced proliferation-associated 1"
"14279","204165_at","WASF1","WASP family member 1"
"14280","204166_at","SBNO2","strawberry notch homolog 2"
"14281","204167_at","BTD","biotinidase"
"14282","204168_at","MGST2","microsomal glutathione S-transferase 2"
"14283","204169_at","IMPDH1","inosine monophosphate dehydrogenase 1"
"14284","204170_s_at","CKS2","CDC28 protein kinase regulatory subunit 2"
"14285","204171_at","RPS6KB1","ribosomal protein S6 kinase B1"
"14286","204172_at","CPOX","coproporphyrinogen oxidase"
"14287","204173_at","MYL6B","myosin light chain 6B"
"14288","204174_at","ALOX5AP","arachidonate 5-lipoxygenase activating protein"
"14289","204175_at","ZNF593","zinc finger protein 593"
"14290","204176_at","KLHL20","kelch like family member 20"
"14291","204177_s_at","KLHL20","kelch like family member 20"
"14292","204178_s_at","RBM14","RNA binding motif protein 14"
"14293","204179_at","MB","myoglobin"
"14294","204180_s_at","ZBTB43","zinc finger and BTB domain containing 43"
"14295","204181_s_at","ZBTB43","zinc finger and BTB domain containing 43"
"14296","204182_s_at","ZBTB43","zinc finger and BTB domain containing 43"
"14297","204183_s_at","GRK3","G protein-coupled receptor kinase 3"
"14298","204184_s_at","GRK3","G protein-coupled receptor kinase 3"
"14299","204185_x_at","PPID","peptidylprolyl isomerase D"
"14300","204186_s_at","PPID","peptidylprolyl isomerase D"
"14301","204187_at","GMPR","guanosine monophosphate reductase"
"14302","204188_s_at","RARG","retinoic acid receptor gamma"
"14303","204189_at","RARG","retinoic acid receptor gamma"
"14304","204190_at","USPL1","ubiquitin specific peptidase like 1"
"14305","204191_at","IFNAR1","interferon alpha and beta receptor subunit 1"
"14306","204192_at","CD37","CD37 molecule"
"14307","204193_at","CHKB","choline kinase beta"
"14308","204194_at","BACH1","BTB domain and CNC homolog 1"
"14309","204195_s_at","PKNOX1","PBX/knotted 1 homeobox 1"
"14310","204196_x_at","PKNOX1","PBX/knotted 1 homeobox 1"
"14311","204197_s_at","RUNX3","RUNX family transcription factor 3"
"14312","204198_s_at","RUNX3","RUNX family transcription factor 3"
"14313","204199_at","RALGPS1","Ral GEF with PH domain and SH3 binding motif 1"
"14314","204200_s_at","PDGFB","platelet derived growth factor subunit B"
"14315","204201_s_at","PTPN13","protein tyrosine phosphatase non-receptor type 13"
"14316","204202_at","IQCE","IQ motif containing E"
"14317","204203_at","CEBPG","CCAAT enhancer binding protein gamma"
"14318","204204_at","SLC31A2","solute carrier family 31 member 2"
"14319","204205_at","APOBEC3G","apolipoprotein B mRNA editing enzyme catalytic subunit 3G"
"14320","204206_at","MNT","MAX network transcriptional repressor"
"14321","204207_s_at","RNGTT","RNA guanylyltransferase and 5'-phosphatase"
"14322","204208_at","RNGTT","RNA guanylyltransferase and 5'-phosphatase"
"14323","204209_at","PCYT1A","phosphate cytidylyltransferase 1, choline, alpha"
"14324","204210_s_at","PCYT1A","phosphate cytidylyltransferase 1, choline, alpha"
"14325","204211_x_at","EIF2AK2","eukaryotic translation initiation factor 2 alpha kinase 2"
"14326","204212_at","ACOT8","acyl-CoA thioesterase 8"
"14327","204213_at","PIGR","polymeric immunoglobulin receptor"
"14328","204214_s_at","RAB32","RAB32, member RAS oncogene family"
"14329","204215_at","TMEM243","transmembrane protein 243"
"14330","204216_s_at","ZC3H14","zinc finger CCCH-type containing 14"
"14331","204217_s_at","RTN2","reticulon 2"
"14332","204218_at","ANAPC15","anaphase promoting complex subunit 15"
"14333","204219_s_at","PSMC1","proteasome 26S subunit, ATPase 1"
"14334","204220_at","GMFG","glia maturation factor gamma"
"14335","204221_x_at","GLIPR1","GLI pathogenesis related 1"
"14336","204222_s_at","GLIPR1","GLI pathogenesis related 1"
"14337","204223_at","PRELP","proline and arginine rich end leucine rich repeat protein"
"14338","204224_s_at","GCH1","GTP cyclohydrolase 1"
"14339","204225_at","HDAC4","histone deacetylase 4"
"14340","204226_at","STAU2","staufen double-stranded RNA binding protein 2"
"14341","204227_s_at","TK2","thymidine kinase 2"
"14342","204228_at","PPIH","peptidylprolyl isomerase H"
"14343","204229_at","SLC17A7","solute carrier family 17 member 7"
"14344","204230_s_at","SLC17A7","solute carrier family 17 member 7"
"14345","204231_s_at","FAAH","fatty acid amide hydrolase"
"14346","204232_at","FCER1G","Fc fragment of IgE receptor Ig"
"14347","204233_s_at","CHKA","choline kinase alpha"
"14348","204234_s_at","ZNF195","zinc finger protein 195"
"14349","204235_s_at","GULP1","GULP PTB domain containing engulfment adaptor 1"
"14350","204236_at","FLI1","Fli-1 proto-oncogene, ETS transcription factor"
"14351","204237_at","GULP1","GULP PTB domain containing engulfment adaptor 1"
"14352","204238_s_at","DNPH1","2'-deoxynucleoside 5'-phosphate N-hydrolase 1"
"14353","204239_s_at","NNAT","neuronatin"
"14354","204240_s_at","SMC2","structural maintenance of chromosomes 2"
"14355","204241_at","ACOX3","acyl-CoA oxidase 3, pristanoyl"
"14356","204242_s_at","ACOX3","acyl-CoA oxidase 3, pristanoyl"
"14357","204243_at","RLF","rearranged L-myc fusion"
"14358","204244_s_at","DBF4","DBF4 zinc finger"
"14359","204245_s_at","RPP14","ribonuclease P/MRP subunit p14"
"14360","204246_s_at","DCTN3","dynactin subunit 3"
"14361","204247_s_at","CDK5","cyclin dependent kinase 5"
"14362","204248_at","GNA11","G protein subunit alpha 11"
"14363","204249_s_at","LMO2","LIM domain only 2"
"14364","204250_s_at","CEP164","centrosomal protein 164"
"14365","204251_s_at","CEP164","centrosomal protein 164"
"14366","204252_at","CDK2","cyclin dependent kinase 2"
"14367","204253_s_at","VDR","vitamin D receptor"
"14368","204254_s_at","VDR","vitamin D receptor"
"14369","204255_s_at","VDR","vitamin D receptor"
"14370","204256_at","ELOVL6","ELOVL fatty acid elongase 6"
"14371","204257_at","FADS3","fatty acid desaturase 3"
"14372","204258_at","CHD1","chromodomain helicase DNA binding protein 1"
"14373","204259_at","MMP7","matrix metallopeptidase 7"
"14374","204260_at","CHGB","chromogranin B"
"14375","204261_s_at","PSEN2","presenilin 2"
"14376","204262_s_at","PSEN2","presenilin 2"
"14377","204263_s_at","CPT2","carnitine palmitoyltransferase 2"
"14378","204264_at","CPT2","carnitine palmitoyltransferase 2"
"14379","204265_s_at","GPSM3","G protein signaling modulator 3"
"14380","204266_s_at","CHKA","choline kinase alpha"
"14381","204267_x_at","PKMYT1","protein kinase, membrane associated tyrosine/threonine 1"
"14382","204268_at","S100A2","S100 calcium binding protein A2"
"14383","204269_at","PIM2","Pim-2 proto-oncogene, serine/threonine kinase"
"14384","204270_at","SKI","SKI proto-oncogene"
"14385","204271_s_at","EDNRB","endothelin receptor type B"
"14386","204272_at","LGALS4","galectin 4"
"14387","204273_at","EDNRB","endothelin receptor type B"
"14388","204274_at","EBAG9","estrogen receptor binding site associated antigen 9"
"14389","204275_at","CAPN15","calpain 15"
"14390","204276_at","TK2","thymidine kinase 2"
"14391","204277_s_at","TK2","thymidine kinase 2"
"14392","204278_s_at","EBAG9","estrogen receptor binding site associated antigen 9"
"14393","204279_at","PSMB9","proteasome subunit beta 9"
"14394","204280_at","RGS14","regulator of G protein signaling 14"
"14395","204281_at","TEAD4","TEA domain transcription factor 4"
"14396","204282_s_at","FARS2","phenylalanyl-tRNA synthetase 2, mitochondrial"
"14397","204283_at","FARS2","phenylalanyl-tRNA synthetase 2, mitochondrial"
"14398","204284_at","PPP1R3C","protein phosphatase 1 regulatory subunit 3C"
"14399","204285_s_at","PMAIP1","phorbol-12-myristate-13-acetate-induced protein 1"
"14400","204286_s_at","PMAIP1","phorbol-12-myristate-13-acetate-induced protein 1"
"14401","204287_at","SYNGR1","synaptogyrin 1"
"14402","204288_s_at","SORBS2","sorbin and SH3 domain containing 2"
"14403","204289_at","BBOF1","basal body orientation factor 1"
"14404","204289_at","ALDH6A1","aldehyde dehydrogenase 6 family member A1"
"14405","204290_s_at","ALDH6A1","aldehyde dehydrogenase 6 family member A1"
"14406","204291_at","ZNF518A","zinc finger protein 518A"
"14407","204292_x_at","STK11","serine/threonine kinase 11"
"14408","204293_at","SGSH","N-sulfoglucosamine sulfohydrolase"
"14409","204294_at","AMT","aminomethyltransferase"
"14410","204295_at","SURF1","SURF1 cytochrome c oxidase assembly factor"
"14411","204296_at","SLC4A5","solute carrier family 4 member 5"
